nomor_run,mean_cross_track_A,mean_cross_track_B,mean_cross_track_C,max_cross_track_A,max_cross_track_B,max_cross_track_C
1,0.009576,0.028042,0.051642,0.022214,0.079888,0.182401
2,0.012385,0.027261,0.058659,0.03001,0.085333,0.175021
3,0.006878,0.032313,0.048686,0.017482,0.101489,0.149008
4,0.012966,0.022426,-,0.025928,0.080275,-
5,0.010471,0.023502,0.053426,0.024355,0.085748,0.150631
6,0.012881,0.02536,0.058164,0.027141,0.084145,0.15028
7,0.004362,0.040043,0.041391,0.01086,0.107007,0.163038
8,0.009971,0.016584,-,0.018826,0.063391,-
9,0.005387,0.037433,0.038019,0.020374,0.099163,0.187151
10,0.007621,0.035032,0.034088,0.018544,0.106812,0.178197
Mean,0.008695,0.031123,0.048009,0.021373,0.093698,0.166966
